id,start_time,geom,goal
0,2024-01-01 00:00:01,"LINESTRING (-6.98707871004923 -18.70000049170746, -6.9859480292115705 -17.40000098341492, -6.984817348373913 -16.10000147512238, -6.983686667524685 -14.80000196683243, -6.982555986341353 -13.500002458590615, -6.981425296567428 -12.2000029507441, -6.980294440659366 -10.900003428502941, -6.979161568359536 -9.60000334434903, -6.978017712061059 -8.299996615981499, -6.976861844587719 -6.999970791737943, -6.975697628404086 -5.69994419856172, -6.974487628097091 -4.399864362458922, -6.973385495968763 -3.099835758128113, -6.972146764298317 -1.8001811944901343, -6.97152751134698 -0.5361053598663383, -7.07795803723379 0.654589260303317, -6.971649442881826 2.065041860360791, -7.076219150189549 3.2551012170011884, -6.952597933985881 4.6649833383088195, -7.076359466054899 5.855102700639016, -6.930002403504789 7.264887576405933, -7.081146717208521 8.455095734399416, -6.901435688858742 9.864615122699053, -7.0956803144434195 11.055097548246797, -6.860249295585992 12.46429093824564, -7.128025867186214 13.654845158933064, -6.789233577368946 15.059101196251872, -7.003366542734569 15.630126375896207, -7.182743855474619 17.200547395341054, -6.948684920341497 17.860435346224108, -7.660350505034077 18.195353863774663, -7.613027712188724 19.181376553299515)",POINT (-6.953419198107665 20)
1,2024-01-01 00:00:01,"LINESTRING (18.729577061670085 -18.377484788394572, 17.45915412334017 -18.65321211341911, 16.18873120350209 -18.92893943795602, 14.918308308677753 -19.204666770399754, 13.647885436455773 -19.48039411162749, 12.377462522532232 -19.7561214250574)",POINT (11.253783567393354 -20)
2,2024-01-01 00:00:02,"LINESTRING (8.560803134259086 -18.887858708798497, 7.887644814114895 -17.775717390992593, 7.214486050341278 -16.663575879831907, 6.541327404962142 -15.551434143200112, 5.868169230998611 -14.439292635448492, 5.195011424699928 -13.327151499000301, 4.521853247247451 -12.215009993361967, 3.848695444686518 -11.102868854657393, 3.175537263258854 -9.990727351448609, 2.502379465077244 -8.87858621018195, 1.8292212793689404 -7.7664447099031255, 1.1560634895065003 -6.654303565181852, 0.4829053528524548 -5.5421620376198355, -0.190251976226112 -4.430020470526606, -0.863408197485102 -3.317877058535334, -1.5364179853595659 -2.205902128952335, -2.188911926172742 -1.1196339638674062, -2.9451940701816754 -1.0279652200961016, -3.6049633409514534 0.0590352599818089, -4.233530359019413 1.2306147751164427, -4.896592221778034 2.3155151203889526, -5.52110941148033 3.489406250998836, -6.188773242928771 4.5716753774405126, -6.808075398208196 5.748517786038255, -7.4821588287426755 6.827248463068154, -8.093947533791457 8.00833432245789, -8.776512117974601 9.082169148337913, -9.377974899695062 10.26914617832336, -10.073272503136085 11.335689265446046, -10.658768692707724 12.531290004725124, -11.46126802029695 13.406015515801204, -11.987906614465505 14.824028982773394, -12.755513246272319 15.65502380435829, -13.133705262816644 17.150528901660703, -14.14598057317332 17.872769247077915, -14.406051158805276 19.25393906679553)",POINT (-14.977279590424342 20)
3,2024-01-01 00:00:03,"LINESTRING (-18.720805173850216 -13.474734178707388, -17.44161034771859 -13.243086608569383, -16.162415522019227 -13.011439038424337, -14.882811442102009 -12.780373120680558, -13.6034669930791 -12.54887651450868, -12.3236480998279 -12.318057354076782, -11.044021590158057 -12.086828204475278, -9.763804430991573 -11.85640971687503, -8.48364991215339 -11.625621916773007, -7.202708512275154 -11.39582476971157, -5.921607365904664 -11.165728302123984, -4.639393339524372 -10.936850441916997, -3.3566548302862573 -10.7077442159019, -2.07229721659501 -10.480100430599794, -0.786875780536048 -10.252229838407294, 0.5008725868790327 -10.025992081489154, 1.7903420764209614 -9.79926723863922, 3.0823163631088333 -9.572288798011508, 4.378023466946858 -9.302656372931239, 5.779044530959998 -9.010887348618118, 6.999800555370015 -8.856388956917591, 8.376879330895852 -8.563632989957604, 9.63074563873545 -8.420471131357589, 11.015347903993815 -8.138921816395946, 12.223811157122917 -7.947380412602052, 13.692706889762691 -7.61909950312772, 14.855170697986082 -7.455793366344023, 15.658026696754076 -7.228908893317725, 16.01860919966597 -7.898904654694675, 16.832767177869 -7.677682548087359, 17.933104493022924 -6.498284368358644, 19.27946666463425 -6.288149708012101)",POINT (20 -6.462838688774969)
4,2024-01-01 00:00:04,"LINESTRING (-18.812866252742808 6.2353201037427874, -17.62573250548561 5.705496108322523, -16.43859875822842 5.175672112902266, -15.251465010971222 4.645848117482026, -14.064331263714022 4.116024122061878, -12.87719751645683 3.5862001266421526, -11.690063769204155 3.0563761312322697, -10.502930022695242 2.526552137211091, -9.315796394078937 1.9967283746768885, -8.12868040924957 1.46694302771655, -6.943743069198371 0.9433303368778828, -5.741255947011525 1.116667539200691, -4.017493996391076 0.4366158774987114, -3.2716870711288717 -0.0346201517028365, -2.1112679408537085 -0.2355092147448217, -0.1123426146229902 -0.1699535883393312, 1.1071677889614504 -0.7309060451668481, 2.1675571140728502 -1.4197370865494192, 3.3914282350230884 -1.9702953189572718, 4.4078901680758875 -2.670350004068197, 5.440608327506953 -3.1384530283992227, 6.6243462765841175 -3.870484482936335, 7.717224361391093 -4.346199012687964, 8.903714844125798 -5.107733069354002, 10.00486725158193 -5.574189244554866, 11.172967378708988 -6.348746587281407, 12.251654770844544 -6.747205106636184, 13.37800221717261 -7.5666441550333925, 14.449160309373577 -7.908264625477947, 16.278154586056452 -7.5974402189482815, 17.487975744272617 -8.071870324897347, 18.113850179842544 -9.358092414738048, 19.371584313646288 -9.869231720775709, 19.9128082434298 -11.077947637326428)",POINT (20 -11.087064942805235)
5,2024-01-01 00:00:05,"LINESTRING (-18.70284688004415 -9.400926344363294, -17.405638800419226 -9.316145637328013, -16.108519187746367 -9.231282270653454, -14.811353576748502 -9.146479108975289, -13.514289174758682 -9.061582672598114, -12.217194261010633 -8.976748402912628, -10.920224433231171 -8.891813266564368, -9.623238841517438 -8.806945112033917, -8.326393423019944 -8.721950223038288, -7.029562469439496 -8.637029260461778, -5.7329069098337495 -8.551976454266363, -4.436294725048095 -8.467014928357058, -3.139891284425234 -8.381917303878346, -1.8435532654024258 -8.296937512927263, -0.5474510079617609 -8.211826799726861, 0.7485701545744023 -8.126872567401243, 2.044095542074355 -8.04151234797396, 3.334897494569021 -7.9403424308753605, 4.723036592739077 -7.515343835741088, 6.085812716857714 -7.761741981903193, 7.317739712628908 -7.358017028983159, 8.204717158569585 -7.892913303221196, 10.087682270376558 -8.517300188375723, 11.388536098136388 -8.32857794617711, 12.669623941608657 -8.296443810154102, 14.063129899899083 -8.348056758018874, 15.945866642081224 -9.022817722833363, 17.284185263504934 -8.85876469766565, 18.356306877826185 -7.9635806924407175)",POINT (20 -6.8720212061311114)
7,2024-01-01 00:00:06,"LINESTRING (7.976434859053724 18.705352081912263, 7.8585927265581 17.410704163824608, 7.740750594052776 16.116056245744012, 7.6229084606765305 14.821408328200604, 7.505066262791374 13.526760441159647, 7.3872207481886285 12.23211347508161, 7.2692954496416755 10.937465802449251, 7.151039614933692 9.64261627666095, 7.033362774501875 8.34784640678072, 6.915365255638461 7.0532723790151675, 6.797722252173738 5.758544704561146, 6.679701544325777 4.463977074122987, 6.561858448630523 3.1692993308585224, 6.443079138228752 1.8743911809612834, 6.326197677029735 0.579840253524895, 6.207840031278451 -0.7147227042227, 6.105504098905531 -2.0028395542589728, 6.263873426479956 -3.188338166609881, 7.410791563440159 -4.524738241716984, 7.831199578462631 -6.480053331646191, 7.605289138346535 -7.6723006299950605, 7.129011060106287 -9.007232769547397, 6.99036244962448 -10.194913546362269, 7.024563754236826 -10.428177810512326, 7.884728794131779 -11.225165329458566, 7.803948232118872 -12.360710634093241, 6.840800357845447 -13.608006002769224, 6.875976304980176 -14.797426095126022, 5.911335145295683 -15.967721519861065, 5.94420293849515 -17.208556925573905, 5.015697822412248 -18.174143118212566, 4.868249537502216 -19.76418925870873)",POINT (4.453375682424678 -20)
8,2024-01-01 00:00:06,"LINESTRING (18.782521412689327 9.878387393759656, 17.565042825379166 10.334178891529927, 16.347564238112636 10.78997038927464, 15.130085653920348 11.245761885610825, 13.912607226314229 11.70155333613605, 12.695133174728376 12.15734449816254, 11.477693132316283 12.613148329487037, 10.260254047722325 13.06898269149035, 9.042747948557455 13.52475030709123, 7.82529263262534 13.980563203207486, 6.607724357501972 14.436089692079939, 5.388454601406481 14.889816436048932, 4.16966585231481 15.347013648009632, 2.9532954279081904 15.801788823863257, 1.7353384643007614 16.258729613296854, 0.5820980928740194 16.67991210568286, -0.3360228226349406 17.168692991798643, -1.8454919600228161 17.58059474471453, -2.767167336755646 18.089697734924982, -4.268960605742064 18.47416887333883, -4.856767318366783 18.998284426579737, -6.422814767076045 19.31492693997023, -7.291248348749998 19.92230995441237, -8.815599546973697 19.774860483928414, -9.370081052639586 19.871035272207454)",POINT (-8.253627083772573 20)
9,2024-01-01 00:00:07,"LINESTRING (19.22100609562688 -7.095826058936576, 18.44201219125376 -6.055072247053323, 17.663018286880643 -5.014318435170068, 16.884024382507523 -3.9735646232868147, 16.105030478134406 -2.9328108114035603, 15.3260365737607 -1.8920569995230834, 14.54704266938452 -0.851303187658043, 13.76804876500281 0.1894506240756415, 12.989054862521627 1.2302044329941568, 12.210058394657526 2.2709564001201943, 11.431050538892839 3.311693134343782, 10.652109610142267 4.352457974655632, 9.872856560019775 5.393421199218708, 9.093928735936414 6.434115346726273, 8.314860097104937 7.474892814353, 7.535234616211449 8.509004040975249, 6.44330206361884 9.240994426315192, 5.97861145875567 10.669020783432511, 4.882081111579279 11.321948088793501, 4.438983184003763 12.731860250683699, 3.3212156293303514 13.40365257523609, 2.8997302976262773 14.793213014138011, 1.7873888921708327 15.45978113955324, 1.614109124376247 16.47009806958269, 0.4433881750731865 17.40892311594009, 0.215924015966952 18.67981235450674, -0.9071669022656685 19.50589522133759)",POINT (-1.0599509307728308 20)
11,2024-01-01 00:00:11,"LINESTRING (18.74013509415854 -18.792706481195104, 17.480270188317082 -19.113237944594708, 16.22040528247562 -19.433769407994312, 14.960540376634162 -19.754300871393912)",POINT (13.994807695531573 -20)
